,ignition_date,state,total_area_ha,log_total_area_ha,fire_count,outlier_type,ignition_cause
87,2005-05-09,Victoria,1353.0,7.21081845347222,1,None,Not recorded
88,2005-05-23,South Australia,47.0,3.871201010907891,1,None,Not recorded
89,2005-05-24,South Australia,9.0,2.302585092994046,1,None,Not recorded
90,2005-05-26,Queensland,19.0,2.995732273553991,1,None,Not recorded
91,2005-05-28,Queensland,240.0,5.484796933490655,1,None,Not recorded
92,2005-05-29,Queensland,14.0,2.70805020110221,1,None,Not recorded
93,2005-06-02,Victoria,5.0,1.791759469228055,1,None,Not recorded
94,2005-06-06,South Australia,21.0,3.091042453358316,1,None,Not recorded
95,2005-06-07,Victoria,2.0,1.0986122886681098,1,None,Not recorded
96,2005-06-15,Queensland,10450.0,9.254452946594503,1,None,Not recorded
97,2005-06-23,Queensland,2.0,1.0986122886681098,1,None,Not recorded
98,2005-07-02,Queensland,4776.0,8.471568013389962,1,None,Not recorded
99,2005-07-04,Queensland,7048.0,8.860641041773876,1,None,Not recorded
100,2005-07-09,Queensland,62.0,4.143134726391533,1,None,Not recorded
101,2005-07-25,Queensland,150.0,5.017279836814924,1,None,Not recorded
102,2005-07-28,Queensland,2.0,1.0986122886681098,1,None,Not recorded
103,2005-08-04,Queensland,3145.0,8.053887083618223,1,None,Not recorded
104,2005-08-05,Queensland,7719.0,8.951569643018821,2,None,Not recorded
105,2005-08-09,Queensland,86.0,4.465908118654584,2,None,Not recorded
106,2005-08-11,Queensland,111.0,4.718498871295094,1,None,Not recorded
107,2005-08-17,Queensland,8715.0,9.072915696064511,2,None,Not recorded
108,2005-08-22,Queensland,581.0,6.366470447731438,1,None,Not recorded
109,2005-08-23,Queensland,1783.0,7.486613313139955,2,None,Not recorded
110,2005-09-03,Queensland,3448.0,8.145839612936841,2,None,Not recorded
111,2005-09-04,Queensland,34970.0,10.462274425587943,2,None,Not recorded
112,2005-09-05,Queensland,239.0,5.480638923341991,1,None,Not recorded
113,2005-09-09,Queensland,6.0,1.9459101490553132,1,None,Not recorded
114,2005-09-11,Queensland,842.0,6.736966958001855,1,None,Not recorded
115,2005-09-14,Queensland,61.0,4.127134385045092,1,None,Not recorded
116,2005-09-15,Queensland,33002.0,10.404353745407546,4,None,Not recorded
117,2005-09-16,Queensland,4162.0,8.333991247194975,4,None,Not recorded
118,2005-09-17,Queensland,4019.0,8.299037181613066,1,None,Not recorded
119,2005-09-18,Queensland,495.0,6.206575926724928,1,None,Not recorded
120,2005-09-19,Queensland,549.0,6.309918278226516,3,None,Not recorded
121,2005-09-20,Queensland,726.0,6.588926477533519,1,None,Not recorded
122,2005-09-21,Queensland,138.0,4.9344739331306915,1,None,Not recorded
123,2005-09-22,Queensland,9527.0,9.161990111035136,2,None,Not recorded
124,2005-09-23,Queensland,7297.0,8.895355616996392,2,None,Not recorded
125,2005-09-25,Queensland,1088.0,6.9930151229329605,2,None,Not recorded
126,2005-09-26,Queensland,7708.0,8.950143756459262,2,None,Not recorded
127,2005-09-28,Queensland,119067.0,11.687450037461959,5,None,Not recorded
128,2005-09-29,Queensland,20.0,3.044522437723423,1,None,Not recorded
129,2005-09-30,Queensland,1.0,0.6931471805599453,1,None,Not recorded
130,2005-10-01,Queensland,98200.0,11.494771677590096,6,None,Not recorded
131,2005-10-02,Queensland,831.0,6.723832440821209,2,None,Not recorded
132,2005-10-02,Victoria,0.0,0.0,1,None,Not recorded
133,2005-10-03,Queensland,7472.0,8.91905180393029,1,None,Not recorded
134,2005-10-04,Queensland,5222.0,8.560827228436299,1,None,Not recorded
135,2005-10-05,Queensland,2156.0,7.676473646389156,6,None,Not recorded
136,2005-10-06,Queensland,134559.0,11.809765475206776,10,None,Not recorded
137,2005-10-07,Queensland,3227.0,8.07961802938984,3,None,Not recorded
138,2005-10-08,Queensland,2383.0,7.776535028185241,1,None,Not recorded
139,2005-10-09,Queensland,92330.0,11.433135225423932,11,None,Not recorded
140,2005-10-10,Queensland,2364.0,7.768533300926033,2,None,Not recorded
141,2005-10-11,Queensland,4186.0,8.339739766019143,4,None,Not recorded
142,2005-10-13,Queensland,122.0,4.812184355372417,4,None,Not recorded
143,2005-10-14,New South Wales,31.0,3.4657359027997265,1,None,Natural
144,2005-10-14,Queensland,1341.0,7.201916317531627,1,None,Not recorded
145,2005-10-15,Queensland,37742.0,10.53855530701924,1,None,Not recorded
146,2005-10-20,Queensland,7418.0,8.911799556189527,2,None,Not recorded
147,2005-10-21,Queensland,2.0,1.0986122886681098,1,None,Not recorded
148,2005-10-22,Queensland,7.0,2.0794415416798357,1,None,Not recorded
149,2005-10-26,Queensland,9165.0,9.123256265069069,2,None,Not recorded
150,2005-10-27,Queensland,24122.0,10.090921021216259,1,None,Not recorded
151,2005-10-28,Queensland,32893.0,10.401045549301214,2,None,Not recorded
152,2005-10-30,Queensland,129640.0,11.772524370894354,2,None,Not recorded
153,2005-10-31,Queensland,154.0,5.043425116919247,3,None,Not recorded
154,2005-11-03,Victoria,0.0,0.0,1,None,Not recorded
155,2005-11-10,Queensland,17.0,2.8903717578961645,1,None,Not recorded
156,2005-11-12,Queensland,755.0,6.628041376179533,2,None,Not recorded
157,2005-11-14,Queensland,1287.0,7.160845906664299,2,None,Not recorded
158,2005-11-14,South Australia,16.0,2.833213344056216,2,None,Not recorded
159,2005-11-15,Queensland,54184.0,10.900159396357095,1,None,Not recorded
160,2005-11-16,Queensland,5747.0,8.656607247198915,3,None,Not recorded
161,2005-11-16,Western Australia,105.0,4.663439094112067,1,None,Natural
162,2005-11-17,New South Wales,9.0,2.302585092994046,1,None,Natural
163,2005-11-18,Queensland,74.0,4.31748811353631,2,None,Not recorded
164,2005-11-18,Western Australia,240.0,5.484796933490655,1,None,Natural
165,2005-11-19,Queensland,750.0,6.621405651764134,1,None,Not recorded
166,2005-11-20,Queensland,525.0,6.26530121273771,1,None,Not recorded
167,2005-11-21,Queensland,419.0,6.040254711277414,1,None,Not recorded
168,2005-11-23,Victoria,13.0,2.6390573296152584,1,None,Not recorded
169,2005-11-23,Western Australia,272.0,5.60947179518496,1,None,Natural
170,2005-11-24,Queensland,34.0,3.5553480614894135,1,None,Not recorded
171,2005-11-25,South Australia,148.0,5.003946305945459,3,None,Not recorded
172,2005-11-25,Victoria,1.0,0.6931471805599453,1,None,Not recorded
173,2005-11-26,Tasmania,76.0,4.343805421853684,1,None,Natural
174,2005-11-26,Victoria,0.0,0.0,1,None,Not recorded
175,2005-11-27,Queensland,259.0,5.560681631015528,1,None,Not recorded
176,2005-11-27,Western Australia,8.0,2.1972245773362196,3,None,Natural
177,2005-11-28,Queensland,15883.0,9.673067592251142,6,None,Not recorded
178,2005-11-28,Victoria,0.0,0.0,1,None,Not recorded
179,2005-11-28,Western Australia,292.0,5.680172609017068,1,None,Natural
180,2005-11-29,Queensland,1228.0,7.113956109566034,3,None,Not recorded
181,2005-11-29,Victoria,0.0,0.0,1,None,Not recorded
182,2005-11-29,Western Australia,239.0,5.480638923341991,2,None,Natural
183,2005-11-30,Queensland,45.0,3.828641396489095,1,None,Not recorded
184,2005-12-01,Victoria,0.0,0.0,1,None,Not recorded
185,2005-12-03,Queensland,6786.0,8.822764296703758,1,None,Not recorded
186,2005-12-03,South Australia,21.0,3.091042453358316,1,None,Not recorded
187,2005-12-04,Queensland,26.0,3.295836866004329,1,None,Not recorded
188,2005-12-05,Queensland,24.0,3.2188758248682006,3,None,Not recorded
189,2005-12-06,Queensland,10086.0,9.219002745054835,1,None,Not recorded
190,2005-12-07,New South Wales,582.0,6.368187186350492,1,None,Natural
191,2005-12-08,Queensland,20.0,3.044522437723423,1,None,Not recorded
192,2005-12-10,Queensland,2465.0,7.81035268372429,1,None,Not recorded
193,2005-12-11,Queensland,8975.0,9.102309627762478,1,None,Not recorded
194,2005-12-11,Victoria,10.0,2.3978952727983707,1,None,Not recorded
195,2005-12-12,Queensland,1416.0,7.256297239690681,1,None,Not recorded
196,2005-12-13,Queensland,16460.0,9.708749225727084,2,None,Not recorded
197,2005-12-14,New South Wales,356.0,5.877735781779639,1,None,Natural
198,2005-12-14,Queensland,45671.0,10.729240697644094,5,None,Not recorded
199,2005-12-15,Queensland,547.0,6.306275286948016,1,None,Not recorded
200,2005-12-16,New South Wales,245.0,5.5053315359323625,1,None,Natural
201,2005-12-16,Queensland,0.0,0.0,1,None,Not recorded
202,2005-12-16,South Australia,3.0,1.3862943611198906,2,None,Not recorded
203,2005-12-17,Queensland,0.0,0.0,1,None,Not recorded
204,2005-12-17,Victoria,6.0,1.9459101490553132,1,None,Not recorded
205,2005-12-18,Queensland,25108.0,10.130981626587596,2,None,Not recorded
206,2005-12-19,Queensland,19241.0,9.86485066892121,7,None,Not recorded
207,2005-12-19,Western Australia,10843.0,9.291367210618557,1,None,Natural
208,2005-12-20,Queensland,1799.0,7.495541943884256,2,None,Not recorded
209,2005-12-20,South Australia,239.0,5.480638923341991,1,None,Not recorded
